dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,ms_nearest_bucket,ms_bounds_evaluation,ms_distance_calculation,ms_query_preprocessing,%_nearest_bucket,%_bounds_evaluation,%_distance_calculation,%_query_preprocessing
agnews-mxbai-1024-euclidean,bsa-pdx,3.62146,6.85773,1.54508,0.9975,512,12,10,1000,0.2,1,3.664,8.283,1.545,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,bsa-pdx,2.28875,4.22452,0.916777,0.9955,256,12,10,1000,0.2,1,2.307,4.97,0.9168,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,bsa-pdx,2.14198,3.96244,0.869249,0.9948,224,12,10,1000,0.2,1,2.163,4.579,0.8692,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,bsa-pdx,1.93565,3.57693,0.79543,0.9946,192,12,10,1000,0.2,1,1.947,4.083,0.7954,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,bsa-pdx,1.64088,3.00017,0.675295,0.993501,160,12,10,1000,0.2,1,1.655,3.486,0.6753,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,bsa-pdx,1.60103,2.9383,0.66717,0.992801,144,12,10,1000,0.2,1,1.604,3.339,0.6672,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,bsa-pdx,1.4623,2.66663,0.646952,0.991701,128,12,10,1000,0.2,1,1.465,2.94,0.647,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,bsa-pdx,1.36384,2.46693,0.566932,0.990601,112,12,10,1000,0.2,1,1.371,2.632,0.5669,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,bsa-pdx,1.27344,2.27154,0.559518,0.988901,96,12,10,1000,0.2,1,1.28,2.73,0.5595,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,bsa-pdx,1.13323,2.04574,0.500057,0.986901,80,12,10,1000,0.2,1,1.139,2.278,0.5001,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,bsa-pdx,0.980229,1.72183,0.435886,0.983001,64,12,10,1000,0.2,1,0.9827,1.853,0.4359,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,bsa-pdx,0.932568,1.64562,0.417392,0.981201,56,12,10,1000,0.2,1,0.9349,1.787,0.4174,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,bsa-pdx,0.854737,1.47397,0.386083,0.977901,48,12,10,1000,0.2,1,0.8561,1.537,0.3861,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,bsa-pdx,0.780531,1.3371,0.364072,0.974301,40,12,10,1000,0.2,1,0.7829,1.404,0.3641,0,0,0,0,-nan,-nan,-nan,-nan
agnews-mxbai-1024-euclidean,bsa-pdx,0.712057,1.25978,0.338775,0.966001,32,12,10,1000,0.2,1,0.7152,1.498,0.3388,0,0,0,0,-nan,-nan,-nan,-nan
